institution_name,state,student_enrollment,faculty_count,placement_percentage,research_publications,infrastructure_score,accreditation_grade,nirf_rank,data_sources
Indian Institute of Technology Madras,Tamil Nadu,10200,620,84.762,100,99.0,A++,1,"ugc,nirf,aishe,naac"
Indian Institute of Technology Bombay,Maharashtra,9800,580,83.1895,100,97.87,A++,2,"ugc,nirf,aishe,naac"
Indian Institute of Technology Delhi,Delhi,9500,560,81.99099999999999,100,96.46,A++,3,"ugc,nirf,aishe,naac"
Indian Institute of Technology Kanpur,Uttar Pradesh,8200,520,86.071,100,99.0,A++,4,"ugc,nirf,aishe,naac"
Indian Institute of Technology Kharagpur,West Bengal,12000,680,85.068,100,99.0,A++,5,"ugc,nirf,aishe,naac"
Indian Institute of Technology Roorkee,Uttarakhand,8800,510,83.4105,100,98.13,A++,6,"ugc,nirf,aishe,naac"
Indian Institute of Technology Guwahati,Assam,7500,480,83.55499999999999,100,98.3,A++,7,"ugc,nirf,aishe,naac"
Indian Institute of Technology Hyderabad,Telangana,4200,320,81.73599999999999,100,96.16,A++,8,"ugc,nirf,aishe,naac"
National Institute of Technology Tiruchirappalli,Tamil Nadu,6500,410,84.20949999999999,100,99.0,A++,9,"ugc,nirf,aishe,naac"
Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,7800,490,84.354,100,99.0,A++,10,"ugc,nirf,aishe,naac"
Indian Institute of Technology Indore,Madhya Pradesh,3800,280,79.832,100,93.92,A++,11,"ugc,nirf,aishe,naac"
Indian Institute of Technology (ISM) Dhanbad,Jharkhand,7200,450,80.155,100,94.3,A++,12,"ugc,nirf,aishe,naac"
Indian Institute of Technology Ropar,Punjab,3200,240,82.994,100,97.64,A++,13,"ugc,nirf,aishe,naac"
Indian Institute of Technology Gandhinagar,Gujarat,2800,220,82.5265,100,97.09,A++,14,"ugc,nirf,aishe,naac"
Indian Institute of Technology Patna,Bihar,3500,260,81.5235,100,95.91,A++,15,"ugc,nirf,aishe,naac"
Indian Institute of Technology Bhubaneswar,Odisha,3400,250,80.58,100,94.8,A++,16,"ugc,nirf,aishe,naac"
Indian Institute of Technology Mandi,Himachal Pradesh,2600,200,81.702,100,96.12,A++,17,"ugc,nirf,aishe,naac"
Indian Institute of Technology Jodhpur,Rajasthan,3000,230,79.13499999999999,100,93.1,A++,18,"ugc,nirf,aishe,naac"
Indian Institute of Technology Jammu,Jammu And Kashmir,2200,180,78.9395,100,92.87,A++,19,"ugc,nirf,aishe,naac"
Indian Institute of Technology Palakkad,Kerala,2100,170,77.928,100,91.68,A++,20,"ugc,nirf,aishe,naac"
National Institute of Technology Karnataka,Karnataka,6200,400,80.18900000000001,100,94.34,A+,21,"ugc,nirf,aishe,naac"
Vellore Institute of Technology,Tamil Nadu,38000,2200,77.77499999999999,100,91.5,A+,22,"ugc,nirf,aishe,naac"
National Institute of Technology Rourkela,Odisha,5800,380,79.1435,100,93.11,A+,23,"ugc,nirf,aishe,naac"
Indian Institute of Technology Tirupati,Andhra Pradesh,1800,150,76.993,100,90.58,A+,24,"ugc,nirf,aishe,naac"
Indian Institute of Technology Bhilai,Chhattisgarh,1600,140,75.82849999999999,100,89.21,A+,25,"ugc,nirf,aishe,naac"
Indian Institute of Technology Goa,Goa,1400,120,77.2225,100,90.85,A+,26,"ugc,nirf,aishe,naac"
Indian Institute of Technology Dharwad,Karnataka,1500,130,77.979,100,91.74,A+,27,"ugc,nirf,aishe,naac"
Indian Institute of Technology Dhanbad,Jharkhand,7200,450,80.155,100,94.3,A++,12,"ugc,nirf,aishe,naac"
Jamia Millia Islamia,Delhi,18500,950,74.0775,100,87.15,A++,29,"ugc,nirf,aishe,naac"
Anna University,Tamil Nadu,42000,2100,74.7235,100,87.91,A+,30,"ugc,nirf,aishe,naac"
Jadavpur University,West Bengal,16000,820,77.83449999999999,100,91.57,A++,31,"ugc,nirf,aishe,naac"
Amrita Vishwa Vidyapeetham,Tamil Nadu,24000,1400,73.74600000000001,100,86.76,A++,32,"ugc,nirf,aishe,naac"
Thapar Institute of Engineering and Technology,Punjab,12000,650,74.8935,100,88.11,A+,33,"ugc,nirf,aishe,naac"
National Institute of Technology Warangal,Telangana,5500,360,72.352,100,85.12,A+,34,"ugc,nirf,aishe,naac"
Birla Institute of Technology and Science Pilani,Rajasthan,16000,900,73.763,100,86.78,A++,35,"ugc,nirf,aishe,naac"
Delhi Technological University,Delhi,14000,720,72.658,100,85.48,A+,36,"ugc,nirf,aishe,naac"
Indian Institute of Space Science and Technology,Kerala,2200,180,75.0295,100,88.27,A++,37,"ugc,nirf,aishe,naac"
Aligarh Muslim University,Uttar Pradesh,28000,1500,73.6185,100,86.61,A+,38,"ugc,nirf,aishe,naac"
National Institute of Technology Calicut,Kerala,5200,340,73.40599999999999,100,86.36,A+,39,"ugc,nirf,aishe,naac"
International Institute of Information Technology Hyderabad,Telangana,2800,200,74.273,100,87.38,A++,40,"ugc,nirf,aishe,naac"
Manipal Institute of Technology,Karnataka,15000,800,75.1145,100,88.37,A+,41,"ugc,nirf,aishe,naac"
Siksha O Anusandhan,Odisha,18000,950,73.899,100,86.94,A+,42,"ugc,nirf,aishe,naac"
SRM Institute of Science and Technology,Tamil Nadu,42000,2400,72.981,100,85.86,A+,43,"ugc,nirf,aishe,naac"
Shanmugha Arts Science Technology and Research Academy,Tamil Nadu,12000,650,69.989,100,82.34,A+,44,"ugc,nirf,aishe,naac"
Kalinga Institute of Industrial Technology,Odisha,30000,1600,71.98649999999999,100,84.69,A+,45,"ugc,nirf,aishe,naac"
PSG College of Technology,Tamil Nadu,8500,480,73.3805,100,86.33,A+,46,"ugc,nirf,aishe,naac"
Sri Sivasubramaniya Nadar College of Engineering,Tamil Nadu,6200,380,72.25,100,85.0,A+,47,"ugc,nirf,aishe,naac"
National Institute of Technology Durgapur,West Bengal,4800,320,70.1505,100,82.53,A+,48,"ugc,nirf,aishe,naac"
College of Engineering Pune,Maharashtra,7200,420,69.7255,100,82.03,A+,49,"ugc,nirf,aishe,naac"
Indian Institute of Engineering Science and Technology Shibpur,West Bengal,4500,300,71.587,100,84.22,A+,50,"ugc,nirf,aishe,naac"
University of Delhi,Delhi,100000,5000,70.329,100,82.74,A++,55,"ugc,nirf,aishe,naac"
University of Mumbai,Maharashtra,100000,5000,66.25750000000001,100,77.95,A++,60,"ugc,nirf,aishe,naac"
University of Calcutta,West Bengal,18000,900,63.3505,100,74.53,A++,65,"ugc,nirf,aishe,naac"
Banaras Hindu University,Uttar Pradesh,30000,1800,66.7675,100,78.55,A++,58,"ugc,nirf,aishe,naac"
Jawaharlal Nehru University,Delhi,8500,550,67.116,100,78.96,A++,62,"ugc,nirf,aishe,naac"
University of Hyderabad,Telangana,5200,420,64.6935,100,76.11,A++,68,"ugc,nirf,aishe,naac"
Panjab University,Punjab,15000,780,65.3055,100,76.83,A+,72,"ugc,nirf,aishe,naac"
Savitribai Phule Pune University,Maharashtra,100000,5000,61.2255,100,72.03,A+,75,"ugc,nirf,aishe,naac"
Osmania University,Telangana,42000,2200,61.378499999999995,100,72.21,A+,78,"ugc,nirf,aishe,naac"
Andhra University,Andhra Pradesh,28000,1400,63.1465,100,74.29,A+,82,"ugc,nirf,aishe,naac"
Madurai Kamaraj University,Tamil Nadu,95000,3200,57.324,100,67.44,A+,88,"ugc,nirf,aishe,naac"
Bharathiar University,Tamil Nadu,100000,3800,57.5705,100,67.73,A+,90,"ugc,nirf,aishe,naac"
University of Kerala,Kerala,18000,950,58.1485,100,68.41,A+,92,"ugc,nirf,aishe,naac"
Gujarat University,Gujarat,100000,4500,56.95,100,67.0,A+,95,"ugc,nirf,aishe,naac"
Rajasthan University,Rajasthan,85000,2800,58.105999999999995,100,68.36,A+,98,"ugc,nirf,aishe,naac"
University of Rajasthan,Rajasthan,82000,2700,55.5815,100,65.39,A+,99,"ugc,nirf,aishe,naac"
Gauhati University,Assam,12000,650,54.468,100,64.08,A+,105,"ugc,nirf,aishe,naac"
Patna University,Bihar,25000,1200,54.468,100,64.08,A+,110,"ugc,nirf,aishe,naac"
University of Lucknow,Uttar Pradesh,42000,1800,49.725,100,58.5,A+,112,"ugc,nirf,aishe,naac"
Dr. B. R. Ambedkar University Delhi,Delhi,8500,420,51.816,100,60.96,A,115,"ugc,nirf,aishe,naac"
Visvesvaraya Technological University,Karnataka,100000,5000,52.088,100,61.28,A+,118,"ugc,nirf,aishe,naac"
Dr. A.P.J. Abdul Kalam Technical University,Uttar Pradesh,100000,5000,51.102,100,60.12,A,120,"ugc,nirf,aishe,naac"
Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,4800,310,70.11649999999999,100,82.49,A+,52,"ugc,nirf,aishe,naac"
