institution_id,institution_name,city,state,tlr,rpc,go,oi,score,nirf_rank
IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,95.7,90.74,82.29,63.25,88.72,1
IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,85.89,93.47,81.67,62.01,85.74,2
IR-E-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,87.97,84.81,87.06,59.13,83.65,3
IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,91.77,76.34,88.08,59.18,81.82,4
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,85.26,77.56,79.82,64.24,78.69,5
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,76.06,76.57,85.82,63.92,75.44,6
IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,88.02,61.39,79.2,54.39,72.31,7
IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,73.6,72.89,84.68,61.4,72.24,8
IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,73.26,57.64,78.69,64.76,68.14,9
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,66.39,61.68,86.03,60.51,67.24,10
IR-E-U-0391,Birla Institute of Technology  & Science -Pilani,Pilani,Rajasthan,82.07,56.41,81.04,60.41,67.02,11
IR-E-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,81.25,59.55,76.52,63.77,66.65,12 
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,83.55,59.25,76.89,61.74,66.62,13
IR-E-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,78.69,68.93,65.43,67.09,65.83,14
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,72.84,62.49,77.02,61.36,65.37,15
IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,66.77,67.6,72.22,61.01,65.25,16
IR-E-U-0237,"National Institute of Technology Karnataka, Surathkal",Surathkal,Karnataka,75.38,51.8,78.11,62.49,64.59,17
IR-E-U-0575,Jadavpur University,Kolkata,West Bengal,79.56,59.41,71.46,48.6,64.54,18
IR-E-U-0064,Indian Institute of Technology Patna,Patna,Bihar,79.24,55.04,78.4,63.95,64.52,19
IR-E-U-0439,Anna University,Chennai,Tamil Nadu,69.43,62.8,63.28,51.12,63.51,20
IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,83.65,40,79.12,66.66,63.05,21
IR-E-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,85.34,43.83,70.48,73.26,62.58,22
IR-E-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,80.74,51.78,67.71,64.19,62.46,23
IR-E-U-0108,Jamia Millia Islamia,New Delhi,Delhi,67.5,59.18,78.28,67.19,62.42,24
IR-E-U-0139,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,85.82,41.07,74.62,63.82,62.31,25
IR-E-U-0184,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,81.9,42.61,78.29,68.77,62.08,26
IR-E-U-0395,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,86.92,44.03,70.43,66.41,61.31,27
IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,74.94,49.23,73.64,57.32,61.05,28
IR-E-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,75.12,50.86,73.27,65.68,60.97,29
IR-E-U-0098,Delhi Technological University,New Delhi,Delhi,73.01,46.71,79.17,54.82,60.85,30
IR-E-U-0747,Chandigarh University,Mohali,Punjab,73.26,57.93,59.17,74.33,60.46,31
IR-E-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,72.46,47.74,75.18,60.41,59.66,32
IR-E-U-0458,Kalasalingam Academy of Research and Education,Krishnan Koil,Tamil Nadu,78.03,42.46,72.16,77.18,59.03,33
IR-E-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,76.86,55.65,64.17,41.19,59.01,34
IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,77.55,48.67,69.94,66.84,58.95,35
IR-E-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,78.64,47.76,60.32,77.29,58.79,36
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,66.68,65.39,62.04,59.02,58.53,37
IR-E-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,75.84,43.22,70.72,63.32,58.45,38
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,74.57,39.14,75.07,62.69,58.22,39
IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,80.47,35.94,73.7,72.8,58.02,40
IR-E-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,76.35,50.35,64.94,53.35,57.96,41
IR-E-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,69.29,51.84,70.23,60.14,57.45,42
