Institute Name,State,Rank,Score,TLR,RP,GO,OI,Peer Perception,Category
Indian Institute of Technology Madras,Tamil Nadu,1,99.72,104.15,86.13,84.55,89.19,77.84,Engineering
Indian Institute of Technology Bombay,Maharashtra,2,97.87,97.28,92.51,84.1,80.32,80.44,Engineering
Indian Institute of Technology Delhi,Delhi,3,96.46,96.32,92.07,83.65,84.93,75.1,Engineering
Indian Institute of Technology Kanpur,Uttar Pradesh,4,101.26,98.71,93.5,83.2,79.62,79.95,Engineering
Indian Institute of Technology Kharagpur,West Bengal,5,100.08,101.33,88.58,82.75,81.37,74.14,Engineering
Indian Institute of Technology Roorkee,Uttarakhand,6,98.13,96.33,86.8,82.3,81.96,83.19,Engineering
Indian Institute of Technology Guwahati,Assam,7,98.3,101.52,90.55,81.85,80.17,76.04,Engineering
Indian Institute of Technology Hyderabad,Telangana,8,96.16,102.07,85.67,81.4,85.51,81.46,Engineering
National Institute of Technology Tiruchirappalli,Tamil Nadu,9,99.07,94.72,88.2,80.95,85.1,79.64,Engineering
Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,10,99.24,93.58,90.13,80.5,78.52,77.33,Engineering
Indian Institute of Technology Indore,Madhya Pradesh,11,93.92,96.14,87.55,80.05,77.01,73.4,Engineering
Indian Institute of Technology (ISM) Dhanbad,Jharkhand,12,94.3,100.27,83.11,79.6,78.22,75.14,Engineering
Indian Institute of Technology Ropar,Punjab,13,97.64,99.0,89.02,79.15,78.75,72.13,Engineering
Indian Institute of Technology Gandhinagar,Gujarat,14,97.09,93.71,87.62,78.7,84.44,77.49,Engineering
Indian Institute of Technology Patna,Bihar,15,95.91,97.91,83.72,78.25,75.99,76.52,Engineering
Indian Institute of Technology Bhubaneswar,Odisha,16,94.8,93.71,80.9,77.8,78.72,76.74,Engineering
Indian Institute of Technology Mandi,Himachal Pradesh,17,96.12,90.66,85.22,77.35,78.62,72.39,Engineering
Indian Institute of Technology Jodhpur,Rajasthan,18,93.1,95.87,82.14,76.9,75.47,79.66,Engineering
