University Name,State/UT,Type,Year of Establishment
Indian Institute of Technology Madras,Tamil Nadu,Central University,1951
Indian Institute of Technology Bombay,Maharashtra,Central University,1952
Indian Institute of Technology Delhi,Delhi,Central University,1953
Indian Institute of Technology Kanpur,Uttar Pradesh,Central University,1954
Indian Institute of Technology Kharagpur,West Bengal,Central University,1955
Indian Institute of Technology Roorkee,Uttarakhand,Central University,1956
Indian Institute of Technology Guwahati,Assam,Central University,1957
Indian Institute of Technology Hyderabad,Telangana,Central University,1958
National Institute of Technology Tiruchirappalli,Tamil Nadu,State University,1959
Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Central University,1960
Indian Institute of Technology Indore,Madhya Pradesh,Central University,1961
Indian Institute of Technology (ISM) Dhanbad,Jharkhand,Central University,1962
Indian Institute of Technology Ropar,Punjab,Central University,1963
Indian Institute of Technology Gandhinagar,Gujarat,Central University,1964
Indian Institute of Technology Patna,Bihar,Central University,1965
Indian Institute of Technology Bhubaneswar,Odisha,Central University,1966
Indian Institute of Technology Mandi,Himachal Pradesh,Central University,1967
Indian Institute of Technology Jodhpur,Rajasthan,Central University,1968
Indian Institute of Technology Jammu,Jammu and Kashmir,Central University,1969
Indian Institute of Technology Palakkad,Kerala,Central University,1970
National Institute of Technology Karnataka,Karnataka,State University,1971
Vellore Institute of Technology,Tamil Nadu,State University,1972
National Institute of Technology Rourkela,Odisha,State University,1973
Indian Institute of Technology Tirupati,Andhra Pradesh,Central University,1974
Indian Institute of Technology Bhilai,Chhattisgarh,Central University,1975
Indian Institute of Technology Goa,Goa,Central University,1976
Indian Institute of Technology Dharwad,Karnataka,Central University,1977
Indian Institute of Technology Dhanbad,Jharkhand,Central University,1978
Jamia Millia Islamia,Delhi,State University,1979
Anna University,Tamil Nadu,State University,1980
Jadavpur University,West Bengal,State University,1981
Amrita Vishwa Vidyapeetham,Tamil Nadu,State University,1982
Thapar Institute of Engineering and Technology,Punjab,State University,1983
National Institute of Technology Warangal,Telangana,State University,1984
Birla Institute of Technology and Science Pilani,Rajasthan,State University,1985
Delhi Technological University,Delhi,State University,1986
Indian Institute of Space Science and Technology,Kerala,Central University,1987
Aligarh Muslim University,Uttar Pradesh,State University,1988
National Institute of Technology Calicut,Kerala,State University,1989
International Institute of Information Technology Hyderabad,Telangana,State University,1990
Manipal Institute of Technology,Karnataka,State University,1991
Siksha O Anusandhan,Odisha,State University,1992
SRM Institute of Science and Technology,Tamil Nadu,State University,1993
Shanmugha Arts Science Technology and Research Academy,Tamil Nadu,State University,1994
Kalinga Institute of Industrial Technology,Odisha,State University,1995
PSG College of Technology,Tamil Nadu,State University,1996
Sri Sivasubramaniya Nadar College of Engineering,Tamil Nadu,State University,1997
National Institute of Technology Durgapur,West Bengal,State University,1998
College of Engineering Pune,Maharashtra,State University,1999
Indian Institute of Engineering Science and Technology Shibpur,West Bengal,Central University,2000
University of Delhi,Delhi,State University,2005
University of Mumbai,Maharashtra,State University,2010
University of Calcutta,West Bengal,State University,2015
Banaras Hindu University,Uttar Pradesh,State University,2008
Jawaharlal Nehru University,Delhi,State University,2012
University of Hyderabad,Telangana,State University,2018
Panjab University,Punjab,State University,1952
Savitribai Phule Pune University,Maharashtra,State University,1955
Osmania University,Telangana,State University,1958
Andhra University,Andhra Pradesh,State University,1962
Madurai Kamaraj University,Tamil Nadu,State University,1968
Bharathiar University,Tamil Nadu,State University,1970
University of Kerala,Kerala,State University,1972
Gujarat University,Gujarat,State University,1975
Rajasthan University,Rajasthan,State University,1978
University of Rajasthan,Rajasthan,State University,1979
Gauhati University,Assam,State University,1985
Patna University,Bihar,State University,1990
University of Lucknow,Uttar Pradesh,State University,1992
Dr. B. R. Ambedkar University Delhi,Delhi,State University,1995
Visvesvaraya Technological University,Karnataka,State University,1998
Dr. A.P.J. Abdul Kalam Technical University,Uttar Pradesh,State University,2000
Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,State University,2002
Malaviya National Institute of Technology Jaipur,Rajasthan,State University,2004
Motilal Nehru National Institute of Technology Allahabad,Uttar Pradesh,State University,2006
National Institute of Technology Silchar,Assam,State University,2007
National Institute of Technology Hamirpur,Himachal Pradesh,State University,2009
National Institute of Technology Meghalaya,Meghalaya,State University,2011
National Institute of Technology Nagaland,Nagaland,State University,2013
