institution_name,student_enrollment,faculty_count,placement_percentage,research_publications,infrastructure_score,accreditation_grade,nirf_rank,state
Regional Tamil Polytechnic 553,22014,1500,35.5,311,26.4,B,751,Gujarat
Regional Bihar Institute of Management 474,2020,150,30.0,68,20.7,C,999,Haryana
Indian Madhya College of Engineering 733,10239,758,35.9,320,33.7,B,671,Uttar Pradesh
Rural Kerala Business School 630,11727,584,30.0,173,35.0,C,799,Bihar
Urban Karnataka Medical College 122,20048,1475,58.9,477,60.9,B,537,Uttar Pradesh
State Haryana Arts and Science College 339,3661,158,30.0,202,21.5,B,842,Rajasthan
Premier Punjab Institute of Technology 209,11134,510,49.9,402,41.9,A++,654,Bihar
State Karnataka University 253,4232,186,41.6,403,36.2,B+,624,Delhi
Central Uttar Medical College 954,19797,1050,30.0,187,20.0,A+,869,Andhra Pradesh
Global Telangana Arts and Science College 783,15990,640,30.0,142,22.1,A+,909,Maharashtra
Global Maharashtra Institute of Technology 372,12670,1007,30.0,244,23.3,A,738,Delhi
Central Punjab Institute of Management 522,10126,588,30.0,214,20.0,C,767,Telangana
Rural Haryana Medical College 580,4252,262,30.0,192,20.0,B,860,Telangana
Central Rajasthan Institute of Technology 202,23085,948,30.0,344,45.5,NA,646,Bihar
State Telangana Medical College 647,16367,839,30.0,160,25.1,NA,854,Andhra Pradesh
Metropolitan Delhi College of Engineering 929,8319,370,40.7,180,20.0,C,863,Punjab
Rural Haryana Institute of Technology 888,10641,748,30.0,215,20.0,A+,779,Kerala
Metropolitan Rajasthan Polytechnic 542,18291,739,48.8,441,52.1,C,529,Uttar Pradesh
Metropolitan Maharashtra Polytechnic 392,18129,980,30.0,199,33.8,C,784,Madhya Pradesh
Rural Kerala Institute of Technology 233,11796,640,34.7,349,50.1,C,648,Kerala
Premier Maharashtra University 339,7921,321,77.7,574,52.8,A,425,Maharashtra
Global Telangana Arts and Science College 532,16668,983,36.5,384,39.2,A+,646,Madhya Pradesh
Regional West University 448,16626,968,30.0,237,20.0,NA,818,Gujarat
Premier Bihar College of Engineering 144,15192,775,30.0,267,25.5,A,761,West Bengal
Indian Bihar Institute of Management 514,2284,167,31.5,342,53.6,B++,687,West Bengal
Central Telangana Arts and Science College 880,12083,747,37.8,457,37.3,B++,507,Madhya Pradesh
Regional Kerala University 413,15541,1070,35.8,294,20.0,A+,707,Uttar Pradesh
State Delhi College of Engineering 322,23776,1500,66.0,410,35.3,A++,587,Gujarat
Indian Punjab Institute of Management 202,13376,575,30.0,295,34.5,NA,671,Maharashtra
Rural Bihar Medical College 343,8896,452,30.0,237,29.4,C,836,Gujarat
Rural West Arts and Science College 540,14116,847,30.0,235,26.9,NA,771,Karnataka
State Telangana Business School 584,4842,279,30.0,307,43.5,A,708,Telangana
Global West University 414,2722,154,41.7,299,20.0,A,703,Bihar
Indian Telangana College of Engineering 885,17113,845,41.9,409,56.1,B++,556,Rajasthan
Global West Institute of Technology 974,24661,1025,30.0,106,20.0,B++,983,Bihar
Regional West Business School 720,21227,879,32.6,327,41.3,A++,664,Andhra Pradesh
Urban Tamil Business School 164,14799,865,50.8,402,31.5,B,557,Maharashtra
Metropolitan Rajasthan Polytechnic 397,1486,91,58.4,533,60.3,NA,442,West Bengal
